comune,prov,ocos,ocos_label,eues_id,eues_id_norm,regione,cupxall,codice_usr,denominazione_interventoxall,categoria,importo_programmato_esclusi_oc_126,fase_di_avanzamento_al_30_aprile_2026,cod_istat_comune,ordinanza_attuale,fase_id,fase_label,soggetto_attuatore,cf_piva_soggetto_attuatore
Vallo Di Nera,PG,OS,Opere statali,ES_359,ES_359,UMBRIA,E16J24000030001,,Stazione ferroviaria e annessi in loc. Piedipaterno nel Comune di Vallo di Nera,11 - Altre opere pubbliche,1300000,FA_3 - Incarico di progettazione affidato,054058,OS_27,FA_3,Incarico di progettazione affidato,AGENZIA DEL DEMANIO,06340981007
Belforte del Chienti,MC,OC,Opere comunali,EU_2016,EU_2016,Marche,G77H21058370001,1904,RIPARAZIONE CON RAFFORZAMENTO LOCALE PER RIPRISTINO AGIBILITÀ MURA CASTELLANE–VIA SCALETTE,11 - Altre opere pubbliche,500000,FA_4 - Progetto definitivo/PFTE approvato,043004,OC_137,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI BELFORTE DEL CHIENTI - MC -,00269440434
Belforte del Chienti,MC,OC,Opere comunali,EU_2359,EU_2359,Marche,G77H21062050001,7719,RISTRUTTURAZIONE CON RAFFORZAMENTO LOCALE DELLE CAMPATE DI LOCULI DEL CIMITERO COMUNALE,3 - Cimiteri,1000000,FA_4 - Progetto definitivo/PFTE approvato,043004,OC_137,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI BELFORTE DEL CHIENTI - MC -,00269440434
Montorio al Vomano,TE,OC,Opere comunali,EU_002576,EU_2576,ABRUZZO,G91B19000740002,ID_N00198,LAVORI DI RIPRISTINO SEGNALETICA ORIZZONTALE SU TERRITORIO COMUNALE E STRADE COMUNALI,9 - Opere di urbanizzazione e infrastrutture,16075,FA_8 - Fine lavori,067028,OC_120,FA_8,Fine lavori,COMUNE DI MONTORIO AL VOMANO - TE -,80002070672
Arquata del Tronto,AP,OS,Opere statali,ES_XX,,MARCHE,H25I22000310001,,O.S.40/2022 - ART. 1 comma 1 Lett. D – NUOVA LOTTIZZAZIONE NELLA FRAZIONE DI PESCARA DEL TRONTO nel Comune di Arquata del Tronto,9 - Opere di urbanizzazione e infrastrutture,7987722.5,FA_3 - Incarico di progettazione affidato,044006,OS_40,FA_3,Incarico di progettazione affidato,UFFICIO SPECIALE PER LA RICOSTRUZIONE POST SISMA DEL 2016 DELLA REGIONE MARCHE,93151650426
Montone,PG,OC,Opere comunali,EU_1673,EU_1673,Umbria,G31I18000040001,,Centro Ricreativo CVA S.M. di Sette,11 - Altre opere pubbliche,193840,FA_3 - Incarico di progettazione affidato,054033,OC_129,FA_3,Incarico di progettazione affidato,COMUNE DI MONTONE - PERUGIA -,81000430546
Crognaleto,TE,OC,Opere comunali,EU_003469,EU_3469,ABRUZZO,G42F24000230005,ID_N00106,Ripristino pavimentazione strada comunale centro storico,9 - Opere di urbanizzazione e infrastrutture,50000,FA_5 - Progetto esecutivo approvato,067023,OC_120,FA_5,Progetto esecutivo approvato,COMUNE DI CROGNALETO - TERAMO -,80004590677
Teramo,TE,OS,Opere statali,ES_231,ES_231,ABRUZZO,G44J18000930001,,ERP 653 - VIA Giovanni XXIII n.77/a/b/c/d/,5 - Edilizia residenziale pubblica,1105394,FA_9 - Collaudo,067041,OS_7,FA_9,Collaudo,A.T.E.R. DELLA PROVINCIA DI TERAMO,00061800678
Giulianova,TE,OS,Opere statali,ES_187,ES_187,ABRUZZO,G63B17000320001,,ERP 156 - Via Salerno n.3,5 - Edilizia residenziale pubblica,431384.4,FA_7 - Inizio lavori,067025,OS_7,FA_7,Inizio lavori,A.T.E.R. DELLA PROVINCIA DI TERAMO,00061800678
Castel Castagna,TE,OC,Opere comunali,EU_3040,EU_3040,ABRUZZO,G97H20000950001,,Lavori di messa in sicurezza e manutenzione straordinaria delle strade comunali,9 - Opere di urbanizzazione e infrastrutture,160000,FA_9 - Collaudo,067010,OC_104,FA_9,Collaudo,COMUNE DI CASTEL CASTAGNA - TERAMO -,80006810677
Montegallo,AP,OC,Opere comunali,EU_0794,EU_794,MARCHE,H71H18000030001,1664,CIVICO CIMITERO ABETITO,3 - Cimiteri,93000,FA_3 - Incarico di progettazione affidato,044038,OC_109,FA_3,Incarico di progettazione affidato,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440
Ascoli Piceno,AP,OS,Opere statali,ES_832,ES_832,MARCHE,I32E19000010001,,ISTITUTO TECNICO AGRARIO C. ULPIANI,10 - Scuole,4052800,FA_3 - Incarico di progettazione affidato,044007,OS_31,FA_3,Incarico di progettazione affidato,AMMINISTRAZIONE PROVINCIALE DI ASCOLI PICENO,01116550441
San Severino Marche,MC,OC,Opere comunali,EU_0472,EU_472,MARCHE,I59E17000030001,2010,LOC. STIGLIANO,5 - Edilizia residenziale pubblica,350000,FA_9 - Collaudo,043047,OC_109,FA_9,Collaudo,COMUNE DI SAN SEVERINO MARCHE - MC -,00119580439
Norcia,PG,OS,Opere statali,ES_303,ES_303,UMBRIA,I59J21003340001,,Ripristino delle strade principali e secondarie del nucleo abitato,9 - Opere di urbanizzazione e infrastrutture,2994087.45,FA_7 - Inizio Lavori,054035,OS_18,FA_7,Inizio lavori,UFFICIO SPECIALE PER LA RICOSTRUZIONE POST SISMA DEL 2016 DELLA REGIONE UMBRIA,94162980547
Bolognola,MC,OC,Opere comunali,EU_1787,EU_1787,Marche,I87H21003610001,7553,RIPRISTINO E RIPARAZIONE ACQUEDOTTO LOCALITÀ PINTURA DORSALE FARGNO ALTO,9 - Opere di urbanizzazione e infrastrutture,1222000,FA_4 - Progetto definitivo/PFTE approvato,043005,OC_137,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI BOLOGNOLA - MC -,81000910430
Scheggino,PG,OC,Opere comunali,EU_3752,EU_3752,UMBRIA,J85F21001790005,,Recupero e messa in sicurezza muri e percorso pedonale Torre Civica,9 - Opere di urbanizzazione e infrastrutture,2100000,FA_1 - Rup nominato e cronoprogramma condiviso,054047,OC_263,FA_1,Rup nominato e cronoprogramma condiviso,COMUNE DI SCHEGGINO - PERUGIA -,84002810541
Cerreto d'Esi,AN,OC,Opere comunali,EU_3112,EU_3112,MARCHE,B53D21000760001,,"Lavori di riqualificazione e miglioramento sismico edificio storico Scuola Secondaria di primo grado ""Melchiorri"" in Via XXIV maggio",10 - Scuole,200000,FA_9 - Collaudo,042013,OC_104,FA_9,Collaudo,COMUNE DI CERRETO D'ESI - AN -,00345420426
Rotella,AP,OC,Opere comunali,EU_1953,EU_1953,Marche,C74H23000080003,4555,RIPRISTINO STRUTTURALE DEL MURO DI SOSTEGNO DELLA PIAZZA TENENTE PAOLINI E DEL MURO A MONTE DELLA FONTANA,9 - Opere di urbanizzazione e infrastrutture,200000,FA_3 - Incarico di progettazione affidato,044065,OC_137,FA_3,Incarico di progettazione affidato,COMUNE DI ROTELLA - AP -,00358230449
Norcia,PG,OC,Opere comunali,EU_3453,EU_3453,UMBRIA,F53D21000640001,,"Cimiteri loc. Legogne, Cortigno, Forsivo e Biselli",3 - Cimiteri,490000,FA_3 - Incarico di progettazione affidato,054035,OC_109,FA_3,Incarico di progettazione affidato,COMUNE DI NORCIA - PG -,84002650541
Cerreto di Spoleto,PG,OC,Opere comunali,EU_1415,EU_1415,Umbria,D75F21001200001,,Muro di contenimento Piazza Garibaldi,9 - Opere di urbanizzazione e infrastrutture,500000,FA_3 - Incarico di progettazione affidato,054010,OC_129,FA_3,Incarico di progettazione affidato,COMUNE DI CERRETO DI SPOLETO - PG -,84002490542
Campello sul Clitunno,PG,OC,Opere comunali,EU_1644,EU_1644,Umbria,B22C21001130001,,Chiesa della Madonna della Bianca,2 - Chiese ed edifici di culto,400000,FA_3 - Incarico di progettazione affidato,054005,OC_129,FA_3,Incarico di progettazione affidato,COMUNE DI CAMPELLO SUL CLITUNNO - PG -,84002330540
Alviano,TR,OC,Opere comunali,EU_1720,EU_1720,Umbria,F27H20006300001,,Castello Medievale,8 - Municipi,3594645.51,FA_3 - Incarico di progettazione affidato,055003,OC_129,FA_3,Incarico di progettazione affidato,COMUNE DI ALVIANO - TERNI -,00180530552
Vallo di Nera,PG,OC,Opere comunali,EU_3773,EU_3773,UMBRIA,F17H21004260001,,Riparazione danni strade e muretti urbani di Paterno,9 - Opere di urbanizzazione e infrastrutture,80000,FA_1 - Rup nominato e cronoprogramma condiviso,054058,OC_263,FA_1,Rup nominato e cronoprogramma condiviso,COMUNE DI VALLO DI NERA - PG -,84001550544
Accumoli,RI,OC,Opere comunali,EU_0272,EU_272,LAZIO,C63H18000070001,P23.0052-0087,Dissesto idrogeologico fraz. di Poggio Casoli,4 - Dissesti,285714.28999999998,FA_4 - Progetto definitivo/PFTE approvato,057001,OC_109,FA_4,Progetto definitivo/PFTE approvato,UFFICIO SPECIALE PER LA RICOSTRUZIONE POST SISMA DEL 2016 DELLA REGIONE LAZIO,90076740571
Cittareale,RI,OC,Opere comunali,EU_0403,EU_403,LAZIO,C43H18000350001,P23.0052-0214,Messa in sicurezza della strada di accesso alla frazione Le Rose,4 - Dissesti,377103.09,FA_6 - Avvio procedure per l'aggiudicazione dei lavori,057017,OC_109,FA_6,Avvio procedure per l'aggiudicazione dei lavori,UFFICIO SPECIALE PER LA RICOSTRUZIONE POST SISMA DEL 2016 DELLA REGIONE LAZIO,90076740571
Poggio Bustone,RI,OC,Opere comunali,EU_0412,EU_412,LAZIO,C25J18000220001,P23.0052-0223,Bonifica dissesto idrogeologico interessante la strada comunale Via Roma e il Parco pubblico Giardini di Marzo nel Capoluogo di Poggio Bustone,4 - Dissesti,240000,FA_9 - Collaudo,057051,OC_109,FA_9,Collaudo,UFFICIO SPECIALE PER LA RICOSTRUZIONE POST SISMA DEL 2016 DELLA REGIONE LAZIO,90076740571
Teramo,TE,OC,Opere comunali,EU_1346,EU_1346,Abruzzo,D45I22000450001,,Polo Museale,11 - Altre opere pubbliche,9360000,FA_3 - Incarico di progettazione affidato,067041,OC_129,FA_3,Incarico di progettazione affidato,COMUNE DI TERAMO - TE -,00174750679
Castelsantangelo sul Nera,MC,OS,Opere statali,ES_26,ES_26,MARCHE,F43H19001300001,3938-6716,Parete Rocciosa Vallinfante,4 - Dissesti,2403729.04,FA_9 - Collaudo,043010,OS_29,FA_9,Collaudo,COMUNE DI CASTELSANTANGELO SUL NERA - MACERATA -,00242630432
Spoleto,PG,OS,Opere statali,ES_654,ES_654,UMBRIA,B31B21007540001,,Scuola Infanzia di S. Giovanni di Baiano,10 - Scuole,3251375,FA_3 - Incarico di progettazione affidato,054051,OS_31,FA_3,Incarico di progettazione affidato,COMUNE DI SPOLETO - PG -,00316820547
San Ginesio,MC,OC,Opere comunali,EU_3214,EU_3214,MARCHE,G43H20000490001,,Lavori di realizzazione corpo di fabbrica spogliatoi - Struttura Geodetica Polifunzionale in Località Passo San Ginesio,11 - Altre opere pubbliche,200000,FA_7 - Inizio Lavori,043046,OC_104,FA_7,Inizio lavori,COMUNE DI SAN GINESIO - MC -,00215270430
Teramo,TE,OC,Opere comunali,EU_3663,EU_3663,ABRUZZO,G46H25000010001,,ERP 348 - VIA ARNO n. 6/8 - TERAMO,5 - Edilizia residenziale pubblica,1759696.85,FA_0 - Rup non nominato,067041,OC_250,FA_0,Rup non nominato,A.T.E.R. DELLA PROVINCIA DI TERAMO,00061800678
Crognaleto,TE,OC,Opere comunali,EU_006337,EU_6337,ABRUZZO,G47H21048320001,ID_NR0027,Consolidamento e riprostino belvedere Piazza Roma - frazione Nerito,9 - Opere di urbanizzazione e infrastrutture,800000,FA_3 - Incarico di progettazione affidato,067023,OC_120,FA_3,Incarico di progettazione affidato,COMUNE DI CROGNALETO - TERAMO -,80004590677
Sefro,MC,OC,Opere comunali,EU_2092,EU_2092,Marche,G84J22000190001,7455,RISTRUTTURAZIONE CON RIPARAZIONE DEL DANNO A SEGUITO DEL SISMA 2016 E SUCCESSIVI E MIGLIORAMENTO SISMICO IMMOBILE COMUNALE RIFUGIO VALLE SCUROSA,11 - Altre opere pubbliche,276824,FA_3 - Incarico di progettazione affidato,043050,OC_137,FA_3,Incarico di progettazione affidato,COMUNE DI SEFRO - MACERATA -,00210940433
Montorio al Vomano,TE,OC,Opere comunali,EU_002575,EU_2575,ABRUZZO,G91E19000080002,ID_N00194,LAVORI DI RIPRISTINO DELLA RECINZIONE DELLA DISCARICA COMUNALE,9 - Opere di urbanizzazione e infrastrutture,7320,FA_8 - Fine lavori,067028,OC_120,FA_8,Fine lavori,COMUNE DI MONTORIO AL VOMANO - TE -,80002070672
Borbona,RI,OC,Opere comunali,EU_0213,EU_213,LAZIO,H22F18000100001,P23.0052-0030,ex scuola piedimordenti,11 - Altre opere pubbliche,76955.56,FA_7 - Inizio Lavori,057006,OC_109,FA_7,Inizio lavori,COMUNE DI BORBONA - RI -,00113410575
Arquata del Tronto,AP,OS,Opere statali,ES_57,ES_57,MARCHE,H22F22000970001,,O.S.40 - ART 1 comma 1 Lett. G - RIPRISTINO OPERE DI URBANIZZAZIONE NELLA FRAZIONE DI TRISUNGO nel Comune di Arquata del Tronto,9 - Opere di urbanizzazione e infrastrutture,2139351.23,FA_7 - Inizio lavori,044006,OS_40,FA_7,Inizio lavori,UFFICIO SPECIALE PER LA RICOSTRUZIONE POST SISMA DEL 2016 DELLA REGIONE MARCHE,93151650426
Roccafluvione,AP,OC,Opere comunali,EU_1938,EU_1938,Marche,H69J21014560001,7581,PALESTRA POLIFUNZIONALE - INTERVENTO DI RIPARAZIONE DANNI SISMA E RIDUZIONE RISCHIO SISMICO,9 - Opere di urbanizzazione e infrastrutture,390000,FA_6 - Avvio procedure per l'aggiudicazione dei lavori,044064,OC_137,FA_6,Avvio procedure per l'aggiudicazione dei lavori,COMUNE DI ROCCAFLUVIONE - ASCOLI PICENO -,80004250447
Montegallo,AP,OC,Opere comunali,EU_2290,EU_2290,Marche,H74H23000180001,1573,RIPARAZIONE DANNI E RIPRISTINO CON MIGLIORAMENTO/ADEGUAMENTO SISMICO DEL CIMITERO COMUNALE DI PIANO,3 - Cimiteri,1000000,FA_4 - Progetto definitivo/PFTE approvato,044038,OC_137,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440
Force,AP,OC,Opere comunali,EU_1755,EU_1755,Marche,H82H23000090005,70,"MIGLIORAMENTO SISMICO DEL COMPLESSO IMMOBILIARE CONTENENTE SALA POLIFUNZIONALE ""DEL RAME"" E SOVRASTANTE PIAZZA FRANCESCO EGIDI",11 - Altre opere pubbliche,850000,FA_4 - Progetto definitivo/PFTE approvato,044021,OC_137,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI FORCE - ASCOLI PICENO -,80000330441
Fiuminata,MC,OC,Opere comunali,EU_0871,EU_871,MARCHE,I43F20000010001,1769,STRUTTURA POLIVALENTE,11 - Altre opere pubbliche,956905.57,FA_6 - Avvio procedure per l'aggiudicazione dei lavori,043019,OC_109,FA_6,Avvio procedure per l'aggiudicazione dei lavori,COMUNE DI FIUMINATA - MACERATA -,00266030436
San Severino Marche,MC,OC,Opere comunali,EU_2973,EU_2973,Marche,I51G18000580006,4891,"Realizzazione locali Fondazione ""Dopo di noi""",7 - Edilizia socio sanitaria,42000,FA_9 - Collaudo,043047,OC_48,FA_9,Collaudo,COMUNE DI SAN SEVERINO MARCHE - MC -,00119580439
Urbisaglia,MC,OC,Opere comunali,EU_1120,EU_1120,MARCHE,J43B20000120001,195,"Appartamenti comunali, Via Petrini",5 - Edilizia residenziale pubblica,228500,FA_3 - Incarico di progettazione affidato,043055,OC_109,FA_3,Incarico di progettazione affidato,COMUNE DI URBISAGLIA - MC -,00264420431
Marsciano,PG,OC,Opere comunali,EU_3788,EU_3788,UMBRIA,J66F21000030002,,Ex scuola primaria San Valentino della Collina,11 - Altre opere pubbliche,650000,FA_1 - Rup nominato e cronoprogramma condiviso,054027,OC_263,FA_1,Rup nominato e cronoprogramma condiviso,COMUNE DI MARSCIANO - PG -,00312450547
Scandriglia,RI,OC,Opere comunali,EU_0396,EU_396,LAZIO,J67H19003490001,P23.0052-0207,Caserma Stazione Carabinieri,1 - Caserme,1014039.13,FA_5 - Progetto esecutivo approvato,057064,OC_109,FA_5,Progetto esecutivo approvato,COMUNE DI SCANDRIGLIA - RIETI -,00122200579
Perugia,PG,OS,Opere statali,ES_647,ES_647,UMBRIA,J91B21002060001,,"ITIS ""A. Volta"" - Laboratori – Miglioramento sismico",10 - Scuole,5799750,FA_3 - Incarico di progettazione affidato,054039,OS_31,FA_3,Incarico di progettazione affidato,AMMINISTRAZIONE PROVINCIALE DI PERUGIA,00443770540
Camerino,MC,OC,Opere comunali,EU_3178,EU_3178,MARCHE,E19J21012690001,,"Lavori di manutenzione, preservazione, messa in sicurezza e ripristino area sottostante la cinta muraria della Città viale E. Betti",11 - Altre opere pubbliche,25000,FA_9 - Collaudo,043007,OC_104,FA_9,Collaudo,COMUNE DI CAMERINO - MC -,00276830437
Visso,MC,OC,Opere comunali,EU_0600,EU_600,MARCHE,E66H19000160001,4602,Nuova opera di captazione acquedotto Cupi,11 - Altre opere pubbliche,250000,FA_1 - Rup nominato e cronoprogramma condiviso,043057,OC_109,FA_1,Rup nominato e cronoprogramma condiviso,COMUNE DI VISSO - MACERATA -,81000730432
Castelbellino,AN,OC,Opere comunali,EU_0938,EU_938,MARCHE,C98F19000020001,1829,Palazzo adibito ad alloggi ERAP,5 - Edilizia residenziale pubblica,568400,FA_7 - Inizio lavori,042008,OC_109,FA_7,Inizio lavori,COMUNE DI CASTELBELLINO - AN -,82002250429
Matelica,MC,OC,Opere comunali,EU_2477,EU_2477,Marche,E94E21000230002,7663,"APPARTAMENTI ERP - EX MATTATOIO, VIA CIRCONVALLAZIONE",5 - Edilizia residenziale pubblica,800000,FA_3 - Incarico di progettazione affidato,043024,OC_137,FA_3,Incarico di progettazione affidato,COMUNE DI MATELICA - MC -,00033120437
Accumoli,RI,OC,Opere comunali,EU_0271,EU_271,LAZIO,C63H18000060001,P23.0052-0086,Dissesto idrogeologico fraz. di Roccasalli,4 - Dissesti,300000,FA_7 - Inizio Lavori,057001,OC_109,FA_7,Inizio lavori,UFFICIO SPECIALE PER LA RICOSTRUZIONE POST SISMA DEL 2016 DELLA REGIONE LAZIO,90076740571
Castelsantangelo sul Nera,MC,OS,Opere statali,ES_12,ES_12,MARCHE,F42C20004950001,,"Delocalizzazione Casa di Riposo ""A.Paparelli""",7 - Edilizia socio sanitaria,4000000,FA_6 - Avvio procedure per l'aggiudicazione dei lavori,043010,OS_14,FA_6,Avvio procedure per l'aggiudicazione dei lavori,COMUNE DI CASTELSANTANGELO SUL NERA - MACERATA -,00242630432
Tolentino,MC,OS,Opere statali,ES_116,ES_116,MARCHE,F26F24000100001,,"ISTITUTO COMPRENSIVO DON BOSCO - PRIMARIA E SECONDARIA I° G. ""DON BOSCO"" - VILLAGGIO SCOLASTICO",10 - Scuole,8500000,FA_3 - Incarico di progettazione affidato,043053,OS_76,FA_3,Incarico di progettazione affidato,COMUNE DI TOLENTINO - MC -,83000110433
MONTEMONACO,AP,OS,Opere statali,ES_930,ES_930,MARCHE,D41B22001250001 D41B22001250001,509,LAVORI DI RIPRISTINO CON ADEGUAMENTO SISMICO DELLA SCUOLA DON ANGELO ALBERTINI IN VIA ROMA – COMUNE DI MONTEMONACO (AP),10 - Scuole,1011617.7,FA_4 - Progetto definitivo/PFTE approvato,044044,OS_31,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI MONTEMONACO - ASCOLI PICENO -,00357080449
Amatrice,RI,OS,Opere statali,ES_504,ES_504,LAZIO,C78E18000520001,P24.0022-0007,Rifacimento ed adeguamento delle opere di urbanizzazione nella frazione di Santa Giusta,9 - Opere di urbanizzazione e infrastrutture,856400,FA_4 - Progetto definitivo/PFTE approvato,057002,OS_42,FA_4,Progetto definitivo/PFTE approvato,UFFICIO SPECIALE PER LA RICOSTRUZIONE POST SISMA DEL 2016 DELLA REGIONE LAZIO,90076740571
Campotosto,AQ,OS,Opere statali,ES_266,ES_266,ABRUZZO,B41B21003630005,,Lavori di ricomposizione del margine urbano - 2^ stralcio,9 - Opere di urbanizzazione e infrastrutture,200000,FA_8 - Fine lavori,066016,OS_13,FA_8,Fine lavori,COMUNE DI CAMPOTOSTO - L'AQUILA -,00085160661
Norcia,PG,OS,Opere statali,ES_250,ES_250,UMBRIA,F56J20001520001,,Mura urbiche - Porta Ascolana,9 - Opere di urbanizzazione e infrastrutture,900000,FA_7 - Inizio Lavori,054035,OS_11,FA_7,Inizio lavori,COMUNE DI NORCIA - PG -,84002650541
Castelli,TE,OS,Opere statali,ES_181,ES_181,ABRUZZO,G29E18000160001,,ERP 461 - via per Faiano n.14,5 - Edilizia residenziale pubblica,286743.59999999998,FA_7 - Inizio lavori,067012,OS_7,FA_7,Inizio lavori,A.T.E.R. DELLA PROVINCIA DI TERAMO,00061800678
Montegallo,AP,OS,Opere statali,ES_94,ES_94,MARCHE,G78D18000020001,,CASERMA CARABINIERI DI MONTEGALLO,1 - Caserme,2752742.99,FA_6 - Avvio procedure per l'aggiudicazione dei lavori,044038,OS_27,FA_6,Avvio procedure per l'aggiudicazione dei lavori,AGENZIA DEL DEMANIO,06340981007
Sefro,MC,OC,Opere comunali,EU_2440,EU_2440,Marche,G87H17001500002,1916,MIGLIORAMENRO SISMICO E RIPARAZIONE DEL DANNO SISMA 2016 E SUCCESSIVI DEL CIMITERO SEFRO CAPOLUOGO,3 - Cimiteri,150000,FA_4 - Progetto definitivo/PFTE approvato,043050,OC_137,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI SEFRO - MACERATA -,00210940433
Montorio al Vomano,TE,OS,Opere statali,ES_752,ES_752,ABRUZZO,G95E17000030001,,"Scuola dell'infanzia ""Leognano""",10 - Scuole,390000,FA_7 - Inizio lavori,067028,OS_31,FA_7,Inizio lavori,COMUNE DI MONTORIO AL VOMANO - TE -,80002070672
Montegallo,AP,OC,Opere comunali,EU_2116,EU_2116,Marche,H71J23000170001,7369,RIPARAZIONE DANNI SISMA E RIQUALIFICAZIONE DEL NUCLEO STORICO IN LOCALITA' VALLE DI FRAZIONE PROPEZZANO - Progettazione,12 - Solo Progettazione,220000,FA_3 - Incarico di progettazione affidato,044038,OC_137,FA_3,Incarico di progettazione affidato,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440
Corridonia,MC,OC,Opere comunali,EU_2024,EU_2024,Marche,H93I22000000001,720,RIPRISTINO FUNZIONALE EDIFICIO EX COLLEGIO LANZI,11 - Altre opere pubbliche,3140000,FA_2 - Avvio procedure di affidamento contraente per i servizi,043015,OC_137,FA_2,Avvio procedure di affidamento contraente per i servizi,COMUNE DI CORRIDONIA - MC -,00182490433
Fiuminata,MC,OC,Opere comunali,EU_1071,EU_1071,MARCHE,I43B20000140001,1805,Loc. Spindoli 11,5 - Edilizia residenziale pubblica,383296.31,FA_7 - Inizio lavori,043019,OC_109,FA_7,Inizio lavori,COMUNE DI FIUMINATA - MACERATA -,00266030436
Tossicia,TE,OC,Opere comunali,EU_0180,EU_180,ABRUZZO,I81D18000010001,,Alloggi emergenziali sisma 2009 - Fraz. Azzinano,5 - Edilizia residenziale pubblica,182281.44,FA_8 - Fine Lavori,067045,OC_109,FA_8,Fine lavori,COMUNE DI TOSSICIA - TERAMO -,80000370678
Umbertide,PG,OS,Opere statali,ES_662,ES_662,UMBRIA,I83D21000850005,,"Scuola Infanzia ""M. Monini""",10 - Scuole,2495000,FA_3 - Incarico di progettazione affidato,054056,OS_31,FA_3,Incarico di progettazione affidato,COMUNE DI UMBERTIDE - PG -,00316550540
Cingoli,MC,OC,Opere comunali,EU_0726,EU_726,MARCHE,J62B20000120005,6570,MUNICIPIO - 2° Stralcio - Nuova sede COC,8 - Municipi,,FA_4 - Progetto definitivo/PFTE approvato,043012,OC_109,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI CINGOLI - MC -,00129810438
Valle Castellana,TE,OC,Opere comunali,EU_003489,EU_3489,ABRUZZO,J92F23000520002,ID_N00279,Riparazione dell'impianto di illuminazione posto in prossimità del monumento,9 - Opere di urbanizzazione e infrastrutture,75000,FA_6 - Avvio procedure per l'aggiudicazione dei lavori,067046,OC_120,FA_6,Avvio procedure per l'aggiudicazione dei lavori,COMUNE DI VALLE CASTELLANA - TERAMO -,80006060679
Montegallo,AP,OC,Opere comunali,EU_0800,EU_800,MARCHE,H76I19000000002,2872,COUNTRY HOUSE COLLE,11 - Altre opere pubbliche,2300000,FA_4 - Progetto definitivo/PFTE approvato,044038,OC_109,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440
Corridonia,MC,OS,Opere statali,ES_904,ES_904,MARCHE,H93H19000580006,347,PRIMARIA LUIGI LANZI,10 - Scuole,7150000,FA_1 - Rup nominato e cronoprogramma condiviso,043015,OS_31,FA_1,Rup nominato e cronoprogramma condiviso,COMUNE DI CORRIDONIA - MC -,00182490433
Cittareale,RI,OC,Opere comunali,EU_1389,EU_1389,Lazio,I47H21003810002,P23.0047-0043,Messa in sicurezza dissesto idrogeologico su strada comunale 'Via Fano - Fraz. Le Rose',4 - Dissesti,295561.92,FA_4 - Progetto definitivo/PFTE approvato,057017,OC_129,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI CITTAREALE - RIETI -,00122890577
Spoleto,PG,OS,Opere statali,ES_658,ES_658,UMBRIA,J32C21003920001,,IPSSART (IPALB) Nuova sede S. Paolo inter Vineas – Miglioramento sismico,10 - Scuole,10640000,FA_3 - Incarico di progettazione affidato,054051,OS_31,FA_3,Incarico di progettazione affidato,AMMINISTRAZIONE PROVINCIALE DI PERUGIA,00443770540
Cellino Attanasio,TE,OC,Opere comunali,EU_3687,EU_3687,ABRUZZO,J52C21002060001,,TORRE CAMPANARIA ADIACENTE CHIESA S.MARIA LA NOVA,11 - Altre opere pubbliche,590150,FA_1 - Rup nominato e cronoprogramma condiviso,067015,OC_250,FA_1,Rup nominato e cronoprogramma condiviso,COMUNE DI CELLINO ATTANASIO - TERAMO -,81000350678
Loro Piceno,MC,OC,Opere comunali,EU_2395,EU_2395,Marche,J72C20000510002,1892,ADEGUAMENTO SISMICO FABBRICATO DENOMINATO CASA DEL CUSTODE CIMITERO,3 - Cimiteri,610000,FA_3 - Incarico di progettazione affidato,043022,OC_137,FA_3,Incarico di progettazione affidato,COMUNE DI LORO PICENO - MACERATA -,00185360435
Macerata,MC,OC,Opere comunali,EU_0968,EU_968,MARCHE,F83G20001260001,1609,Caserma Carabinieri,1 - Caserme,9502000,FA_3 - Incarico di progettazione affidato,043023,OC_109,FA_3,Incarico di progettazione affidato,AMMINISTRAZIONE PROVINCIALE DI MACERATA,80001250432
